biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,tissue,is_cross_modal,is_cross_study,genotype
2480c0a5,6,RNA-seq,1282121,unknown,"embryos, +chx, 3 days",unknown,whole worm,False,False,rpl-36a(p55q)/min1 heterozygotes
3df3541a,6,RNA-seq,1282121,unknown,"embryos, no chx, 2 days",unknown,whole worm,False,False,rpl-36a(p55q)/min1 heterozygotes
aa62f164,6,RNA-seq,1270452,embryonic fibroblast,unknown,unknown,unknown,False,False,unknown
7bb4e16e,6,RNA-seq,1246569,b-cells,unknown,unknown,b-cells,False,False,trp53 +/-
b2a17df6,6,RNA-seq,1246569,b-cells,unknown,unknown,b-cells,False,False,trp53 +/+
6a8a184b,6,RNA-seq,1246569,b-cells,unknown,unknown,b-cells,False,False,"rps15-s138f, trp53 +/-"
8171ca40,6,RNA-seq,1246569,b-cells,unknown,unknown,b-cells,False,False,"rps15-s138f/+, trp53 +/-"
41bc961f,6,"RNA-seq,Ribo-seq",1176138,unknown,unknown,unknown,whole body,True,False,rps-23(0)/tmc5
d4af858d,6,RNA-seq,1129072,wildtype,unknown,unknown,bone marrow,False,False,unknown
ffda118f,6,RNA-seq,1129072,mutant,unknown,unknown,bone marrow,False,False,unknown
fde2db3d,6,RNA-seq,1124923,unknown,unknown,unknown,cattle-yak,False,False,unknown
844f2ba2,6,Ribo-seq,1123824,h26,digested with mnr,unknown,h26,False,False,h26
999bdcd1,6,Ribo-seq,1123824,h26,digested with mna,unknown,h26,False,False,h26
132bb552,6,RNA-seq,1122518,ukki011-a,0.4 μm dox,unknown,ukki011-a,False,False,ukki011-a
f89af796,6,RNA-seq,1122518,ukki011-a,no treatment,unknown,ukki011-a,False,False,ukki011-a
6d5a7efe,6,RNA-seq,1098023,unknown,heat stress,unknown,the experimental group is subjected to heat stress by treating the rainbow trout liver in 24°c for a duration of 8 h,False,False,unknown
16b47e5d,6,RNA-seq,1098023,unknown,control,unknown,the control group involve placing rainbow trout liver in 18°c,False,False,unknown
abbbf419,6,RNA-seq,1095927,unknown,unknown,unknown,h9c2,False,False,m1-null
ef4e3e94,6,RNA-seq,1095927,unknown,unknown,unknown,h9c2,False,False,wt
789e0c1d,6,RNA-seq,1080484,unknown,ccl4,unknown,liver,False,False,y3ko
ce88a014,6,RNA-seq,1080484,unknown,ccl4,unknown,liver,False,False,wt
