Run,study_accession
SRR8310196,PRJNA509230
SRR8310197,PRJNA509230
SRR8310198,PRJNA509230
SRR8310199,PRJNA509230
SRR8310200,PRJNA509230
SRR8310201,PRJNA509230
SRR8310202,PRJNA509230
SRR8310203,PRJNA509230
SRR8310204,PRJNA509230
SRR8310205,PRJNA509230
SRR8309245,PRJNA509149
SRR8309246,PRJNA509149
SRR8309247,PRJNA509149
SRR8309248,PRJNA509149
SRR8309249,PRJNA509149
SRR8309250,PRJNA509149
SRR8309251,PRJNA509149
SRR8309252,PRJNA509149
SRR8309253,PRJNA509149
SRR8309254,PRJNA509149
SRR8309255,PRJNA509149
SRR8309256,PRJNA509149
SRR8145455,PRJNA503400
SRR8145456,PRJNA503400
SRR8145457,PRJNA503400
SRR8145458,PRJNA503400
SRR8145459,PRJNA503400
SRR8136737,PRJNA501880
SRR8136738,PRJNA501880
SRR8136739,PRJNA501880
SRR8136740,PRJNA501880
SRR8136741,PRJNA501880
SRR8136742,PRJNA501880
SRR8136743,PRJNA501880
SRR8136744,PRJNA501880
SRR8136745,PRJNA501880
SRR8135336,PRJNA501872
SRR8135337,PRJNA501872
SRR8135338,PRJNA501872
SRR8135339,PRJNA501872
SRR8135340,PRJNA501872
SRR8135341,PRJNA501872
SRR8135342,PRJNA501872
SRR8135343,PRJNA501872
SRR8135344,PRJNA501872
SRR8135345,PRJNA501872
SRR8135346,PRJNA501872
SRR8135347,PRJNA501872
SRR8130830,PRJNA499096
SRR8130831,PRJNA499096
SRR8130834,PRJNA499096
SRR8130835,PRJNA499096
SRR8130836,PRJNA499096
SRR8130838,PRJNA499096
SRR8130839,PRJNA499096
SRR8130840,PRJNA499096
SRR8130841,PRJNA499096
ERR2189764,PRJEB23298
ERR2189765,PRJEB23298
ERR2189766,PRJEB23298
ERR2189767,PRJEB23298
ERR2189768,PRJEB23298
ERR2189769,PRJEB23298
ERR2189770,PRJEB23298
ERR2189771,PRJEB23298
ERR2189772,PRJEB23298
ERR2189773,PRJEB23298
ERR2189774,PRJEB23298
ERR2189775,PRJEB23298
SRR8070862,PRJNA497255
SRR8070864,PRJNA497255
SRR8070866,PRJNA497255
SRR8070868,PRJNA497255
SRR7874134,PRJNA491747
SRR7874135,PRJNA491747
SRR7874136,PRJNA491747
SRR7874137,PRJNA491747
SRR7874138,PRJNA491747
SRR7874139,PRJNA491747
SRR7798882,PRJNA489713
SRR7798883,PRJNA489713
SRR7798884,PRJNA489713
SRR7798885,PRJNA489713
SRR7798886,PRJNA489713
SRR7798887,PRJNA489713
SRR7798888,PRJNA489713
SRR7798889,PRJNA489713
ERR2193146,PRJEB23398
ERR2193148,PRJEB23398
ERR2193150,PRJEB23398
ERR2193152,PRJEB23398
ERR2193154,PRJEB23398
ERR2193156,PRJEB23398
ERR2193158,PRJEB23398
SRR7655577,PRJNA484941
SRR7655578,PRJNA484941
SRR7655579,PRJNA484941
SRR7655580,PRJNA484941
SRR7655581,PRJNA484941
SRR7655582,PRJNA484941
SRR7638383,PRJNA484185
SRR7638384,PRJNA484185
SRR7638385,PRJNA484185
SRR7638386,PRJNA484185
SRR7638387,PRJNA484185
SRR7638388,PRJNA484185
