Scientific_name	Accession
Laothoe_populi	GCA_905220505.1
Lapara_coniferarum	GCA_949316015.1
Lasiommata_megera	GCA_928268935.1
Laspeyria_flexula	GCA_905147015.1
Lathronympha_strigana	GCA_949128165.1
Leptidea_sinapis	GCA_905404315.1
Leucania_comma	GCA_958295575.1
Leucoma_salicis	GCA_948253155.1
Ligdia_adustata	GCA_947049295.1
Limenitis_camilla	GCA_905147385.1
Lithophane_leautieri	GCA_949152455.1
Lithophane_ornitopus	GCA_948473465.1
Lithophane_semibrunnea	GCA_947363905.1
Lithophane_socia	GCA_947522985.1
Lobophora_halterata	GCA_932526365.1
Lomographa_bimaculata	GCA_948107665.1
Lomographa_temerata	GCA_964199915.1
Luffia_ferchaultella	GCA_949709985.1
Luperina_nickerlii	GCA_963855955.1
Luperina_testacea	GCA_927399505.1
Lycaena_phlaeas	GCA_905333005.1
Lycia_hirtaria	GCA_947563715.1
Lycophotia_porphyrea	GCA_950005105.1
Lymantria_monacha	GCA_905163515.2
Lysandra_bellargus	GCA_905333045.1
Lysandra_coridon	GCA_905220515.1
Macaria_brunneata	GCA_964197775.1
Macaria_liturata	GCA_964023185.1
Macaria_notata	GCA_927399415.1
Mamestra_brassicae	GCA_905163435.1
Manduca_sexta	GCA_014839805.1
Maniola_hyperantus	GCA_902806685.2
Maniola_jurtina	GCA_905333055.1
Marasmarcha_lunaedactyla	GCA_923062675.1
Marasmia_exigua	GCA_019059595.1
Mechanitis_messenoides	GCA_959347415.1
Mecyna_flavalis	GCA_949319885.1
Meganola_albula	GCA_936450015.1
Melanargia_galathea	GCA_920104075.1
Melanchra_persicariae	GCA_947386135.1
Melinaea_marsaeus_rileyi	GCA_918358865.1
Melinaea_menophilus_n._ssp._AW-2005	GCA_918358695.1
Melitaea_cinxia	GCA_905220565.1
Mesoligia_furuncula	GCA_916614155.1
Micropterix_aruncella	GCA_944548615.1
Miltochrista_miniata	GCA_933228765.1
Mimas_tiliae	GCA_905332985.1
Monopis_laevigella	GCA_947458855.1
Musotima_nitidalis	GCA_949126915.1
Mythimna_albipuncta	GCA_929112965.1
Mythimna_ferrago	GCA_910589285.2
Mythimna_impura	GCA_905147345.3
Mythimna_lalbum	GCA_949319445.1
