biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,is_cross_modal,is_cross_study,cap_selection_method,fractionation_method,replicate,translation_inhibitor
bfde7034,24,"Ribo-seq,RNA-seq",763584,unknown,starved for 6 days and refed with food for 30 min,30 min,True,False,,,,
67ab9d8c,24,"Ribo-seq,RNA-seq",763584,unknown,starved for 6 days and refed with food for 10 min,10 min,True,False,,,,
aff1d9e2,24,"Ribo-seq,RNA-seq",763584,unknown,starved for 6 days,unknown,True,False,,,,
d172f1dc,24,"Ribo-seq,RNA-seq",763584,unknown,non-starved,unknown,True,False,,,,
4328673f,24,RNA-seq,748842,not applicable,unknown,unknown,False,False,,,unknown,
6a5a4042,24,RNA-seq,732080,unknown,Fed,unknown,False,False,,,unknown,
e22c210e,24,RNA-seq,732080,unknown,Starved,unknown,False,False,,,unknown,
3697350b,24,RNA-seq,725264,breast cancer cells,NA,unknown,False,False,,,unknown,
5cc0588f,24,"Ribo-seq,RNA-seq",704316,Neuroblastoma cell line,Torin1 2hrs,unknown,True,False,,unknown,,unknown
08cd26e7,24,"Ribo-seq,RNA-seq",704316,Neuroblastoma cell line,DMSO 2hrs,unknown,True,False,,unknown,,unknown
70bb6a61,24,RNA-seq,"649002,648998",RAW264.7,"4sU, 40 min",unknown,False,True,,,unknown,
ed2ca648,24,RNA-seq,"649002,648998",RAW264.7,"4sU, 20 min",unknown,False,True,,,unknown,
61b51a03,24,Ribo-seq,624906,mouse embryonic stem cells (mESCs),unknown,unknown,False,False,,unknown,unknown,unknown
2586f00d,24,"Ribo-seq,RNA-seq",603339,for cells,unknown,unknown,True,False,,,unknown,
8b9390ec,24,RNA-seq,602407,Human PCa cell line C4-2,unknown,unknown,False,False,,,unknown,
459822fa,24,RNA-seq,600267,HEK 293T,12 h mock infection,unknown,False,False,,,,
62171275,24,"Ribo-seq,RNA-seq",591214,HEK-293T,unknown,unknown,True,False,,,unknown,
4e1055f2,24,RNA-seq,545050,newborn erythroid cells,unknown,unknown,False,False,,,unknown,
bb007a82,24,RNA-seq,545050,adult erythroid cells,unknown,unknown,False,False,,,unknown,
dd6f5df4,24,Ribo-seq,531262,hematopoietic cell,unknown,unknown,False,False,,unknown,unknown,unknown
f9bd2d9e,24,Ribo-seq,497718,mixed spindle cell and large multinucleated cells,unknown,unknown,False,False,,unknown,,unknown
5a1e3621,24,"Ribo-seq,RNA-seq",259844,macrophages,unknown,unknown,True,False,,unknown,unknown,unknown
57741be2,22,"Ribo-seq,RNA-seq","1244127,1243989",H98,none,unknown,True,True,,unknown,,unknown
5fd94cb8,22,"Ribo-seq,RNA-seq",1033620,unknown,nitrogen-depletion f/2 medium,unknown,True,False,,unknown,unknown,unknown
2df1f99d,22,"Ribo-seq,RNA-seq",1033620,unknown,normal,unknown,True,False,,unknown,unknown,unknown
7d948833,22,RNA-seq,951361,oocytes,Rnase I,unknown,False,False,,,,
94acca44,22,RNA-seq,852784,Cell Line,48 Hour treatment with 100 nM C16,unknown,False,False,,,unknown,
90e7b334,22,RNA-seq,756018,VSMC,untreated,unknown,False,False,,,unknown,
a253a33f,22,RNA-seq,756018,human cell,untreated,unknown,False,False,,,unknown,
b92482be,22,RNA-seq,488955,Primary basophilic erythroblasts,Iron deficiency,unknown,False,False,,,unknown,
bc644bca,22,RNA-seq,416661,ES cell derived neurons,unknown,unknown,False,False,,,unknown,
14fb2349,20,Ribo-seq,1282489,stem cells,DMSO,30min,False,False,,unknown,,unknown
1f2f8eeb,20,RNA-seq,"1263618,1263619",Fibroblast,Adipogenic Differentiation,Day 7,False,True,,,,
69b75250,20,RNA-seq,"1263618,1263619",Fibroblast,Adipogenic Differentiation,Day 3,False,True,,,,
34b6e99c,20,RNA-seq,1166187,Epithelial cells,cycloheximide for 3 mins (100 ug/ml),unknown,False,False,,,unknown,
c92bfa8f,20,RNA-seq,1140141,Acute myeloid leukemia,BCAA vehicle,unknown,False,False,,,,
09d93796,20,RNA-seq,1140141,Acute myeloid leukemia,AA vehicle,unknown,False,False,,,,
9d3f89b2,20,RNA-seq,1104180,embryonic cell,dsRNA,unknown,False,False,,,unknown,
337a760c,20,RNA-seq,1104180,embryonic cell,uninjected,unknown,False,False,,,unknown,
ae9bce78,20,RNA-seq,"1049447,1049449",mouse lung epithelial cells,unknown,unknown,False,True,,,unknown,
eba5dec4,20,"Ribo-seq,RNA-seq",990710,Cancer cell,Normal culture condition,unknown,True,False,,,,
aa13ab2b,20,RNA-seq,977673,cardiomyocyte,Sham,unknown,False,False,,,unknown,
c331bd58,20,RNA-seq,798426,Embryonic stem cells (ESCs),eIF4A3 KD,unknown,False,False,,,,
bbbb3f35,20,"Ribo-seq,RNA-seq","795419,414611",HeLa,,unknown,True,True,,,unknown,
